"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","FDISTOCK","INWARD","PC_GDP","A","2009",24.091081847307,
"FRA","FDISTOCK","INWARD","PC_GDP","A","2010",23.866256956494,
"FRA","FDISTOCK","INWARD","PC_GDP","A","2011",24.422668235712,
"FRA","FDISTOCK","INWARD","PC_GDP","A","2012",25.349535701421,
"FRA","FDISTOCK","INWARD","PC_GDP","A","2013",27.085082717722,
"FRA","FDISTOCK","INWARD","PC_GDP","A","2014",24.543686257819,
"FRA","FDISTOCK","INWARD","PC_GDP","A","2015",28.192608613037,
"FRA","FDISTOCK","INWARD","PC_GDP","A","2016",28.593673589492,
"FRA","FDISTOCK","INWARD","PC_GDP","A","2017",33.864148643708,
"DEU","FDISTOCK","INWARD","PC_GDP","A","2005",22.639252134389,
"DEU","FDISTOCK","INWARD","PC_GDP","A","2006",27.853160376287,
"DEU","FDISTOCK","INWARD","PC_GDP","A","2007",29.441714087367,
"DEU","FDISTOCK","INWARD","PC_GDP","A","2008",24.714905744494,
"DEU","FDISTOCK","INWARD","PC_GDP","A","2009",28.234944727695,
"DEU","FDISTOCK","INWARD","PC_GDP","A","2010",28.070619580404,
"DEU","FDISTOCK","INWARD","PC_GDP","A","2011",26.307351820902,
"DEU","FDISTOCK","INWARD","PC_GDP","A","2012",24.362703516725,"B"
"DEU","FDISTOCK","INWARD","PC_GDP","A","2013",25.454073998528,
"DEU","FDISTOCK","INWARD","PC_GDP","A","2014",22.115251849849,
"DEU","FDISTOCK","INWARD","PC_GDP","A","2015",23.25203130031,
"DEU","FDISTOCK","INWARD","PC_GDP","A","2016",22.61231668712,
"DEU","FDISTOCK","INWARD","PC_GDP","A","2017",25.746204141636,
"GRC","FDISTOCK","INWARD","PC_GDP","A","2005",11.780115055104,
"GRC","FDISTOCK","INWARD","PC_GDP","A","2006",15.107014082595,
"GRC","FDISTOCK","INWARD","PC_GDP","A","2007",16.710843815083,
"GRC","FDISTOCK","INWARD","PC_GDP","A","2008",10.754271497842,
"GRC","FDISTOCK","INWARD","PC_GDP","A","2009",12.758503801648,
"GRC","FDISTOCK","INWARD","PC_GDP","A","2010",11.700026821516,
"GRC","FDISTOCK","INWARD","PC_GDP","A","2011",10.096704317018,
"GRC","FDISTOCK","INWARD","PC_GDP","A","2012",10.079563001013,
"GRC","FDISTOCK","INWARD","PC_GDP","A","2013",10.777124994714,
"GRC","FDISTOCK","INWARD","PC_GDP","A","2014",10.364585863747,
"GRC","FDISTOCK","INWARD","PC_GDP","A","2015",13.782617416976,
"GRC","FDISTOCK","INWARD","PC_GDP","A","2016",12.774288254694,
"GRC","FDISTOCK","INWARD","PC_GDP","A","2017",16.244861195036,
"HUN","FDISTOCK","INWARD","PC_GDP","A","2005",54.062968442095,
"HUN","FDISTOCK","INWARD","PC_GDP","A","2006",69.537954826268,
"HUN","FDISTOCK","INWARD","PC_GDP","A","2007",68.260357636372,
"HUN","FDISTOCK","INWARD","PC_GDP","A","2008",55.734209573744,
"HUN","FDISTOCK","INWARD","PC_GDP","A","2009",75.709719950014,
"HUN","FDISTOCK","INWARD","PC_GDP","A","2010",69.392600264379,
"HUN","FDISTOCK","INWARD","PC_GDP","A","2011",60.612001315328,
"HUN","FDISTOCK","INWARD","PC_GDP","A","2012",81.348527305466,
"HUN","FDISTOCK","INWARD","PC_GDP","A","2013",80.300406754031,
"HUN","FDISTOCK","INWARD","PC_GDP","A","2014",71.063935544489,
"HUN","FDISTOCK","INWARD","PC_GDP","A","2015",69.056862780749,
"HUN","FDISTOCK","INWARD","PC_GDP","A","2016",64.157850265201,
"HUN","FDISTOCK","INWARD","PC_GDP","A","2017",65.397627725747,
"ISL","FDISTOCK","INWARD","PC_GDP","A","2005",28.090504627305,
"ISL","FDISTOCK","INWARD","PC_GDP","A","2006",45.119323129845,
"ISL","FDISTOCK","INWARD","PC_GDP","A","2007",77.163081848358,
"ISL","FDISTOCK","INWARD","PC_GDP","A","2008",52.185232634144,
"ISL","FDISTOCK","INWARD","PC_GDP","A","2009",66.61326782086,
"ISL","FDISTOCK","INWARD","PC_GDP","A","2010",88.531456754091,
"ISL","FDISTOCK","INWARD","PC_GDP","A","2011",85.902720303536,
"ISL","FDISTOCK","INWARD","PC_GDP","A","2012",72.539541790862,
"ISL","FDISTOCK","INWARD","PC_GDP","A","2013",47.381432139583,
"ISL","FDISTOCK","INWARD","PC_GDP","A","2014",45.589790614923,
"ISL","FDISTOCK","INWARD","PC_GDP","A","2015",46.340031384032,
"ISL","FDISTOCK","INWARD","PC_GDP","A","2016",48.46801633424,
"ISL","FDISTOCK","INWARD","PC_GDP","A","2017",42.334861210746,
"IRL","FDISTOCK","INWARD","PC_GDP","A","2005",77.264173057789,
"IRL","FDISTOCK","INWARD","PC_GDP","A","2006",67.432424016493,
"IRL","FDISTOCK","INWARD","PC_GDP","A","2007",75.465027503291,
"IRL","FDISTOCK","INWARD","PC_GDP","A","2008",68.461237682017,
"IRL","FDISTOCK","INWARD","PC_GDP","A","2009",105.84855356426,
"IRL","FDISTOCK","INWARD","PC_GDP","A","2010",128.55838669074,
"IRL","FDISTOCK","INWARD","PC_GDP","A","2011",122.09723204511,
"IRL","FDISTOCK","INWARD","PC_GDP","A","2012",170.21398324802,"B"
"IRL","FDISTOCK","INWARD","PC_GDP","A","2013",171.11886681594,
"IRL","FDISTOCK","INWARD","PC_GDP","A","2014",160.57389556715,
"IRL","FDISTOCK","INWARD","PC_GDP","A","2015",305.13359585713,
"IRL","FDISTOCK","INWARD","PC_GDP","A","2016",278.13594541329,
"IRL","FDISTOCK","INWARD","PC_GDP","A","2017",269.36706169585,
"ITA","FDISTOCK","INWARD","PC_GDP","A","2005",12.094908359155,
"ITA","FDISTOCK","INWARD","PC_GDP","A","2006",15.180007903388,
"ITA","FDISTOCK","INWARD","PC_GDP","A","2007",17.091432690651,
"ITA","FDISTOCK","INWARD","PC_GDP","A","2008",13.716303102743,
"ITA","FDISTOCK","INWARD","PC_GDP","A","2009",16.679696102861,
"ITA","FDISTOCK","INWARD","PC_GDP","A","2010",15.437436786505,
